bits,numberCount,run_id,part1_time,part1_pct,part2_time,part2_pct,part3_time,part3_pct,avg_time
1,430000000,avg,2.16044092,24.44612732,2.04e-06,2.312e-05,6.67711038,75.55378589,
1,430000000,avg,,,,,,,8.837559
1,450000000,1,2.27704615,24.69870892,1.29e-06,1.402e-05,6.94223834,75.30120719,
1,450000000,2,2.28216315,24.69932774,1.68e-06,1.822e-05,6.95759414,75.30044373,
1,450000000,3,2.26073496,24.47622053,1.28e-06,1.389e-05,6.97571188,75.52369711,
1,450000000,4,2.27514529,24.62142556,1.67e-06,1.808e-05,6.96535717,75.37849304,
1,450000000,5,2.27172426,24.61059722,1.75e-06,1.899e-05,6.95894236,75.38931129,
1,450000000,avg,2.27336276,24.62123417,1.54e-06,1.664e-05,6.95996878,75.37865228,
1,450000000,avg,,,,,,,9.233342
1,470000000,1,2.36362044,24.56976361,1.16e-06,1.207e-05,7.25640959,75.43016013,
1,470000000,2,2.37304257,24.58707151,1.99e-06,2.066e-05,7.27853658,75.41284847,
1,470000000,3,2.37749887,24.50010066,1.2e-06,1.24e-05,7.32653077,75.4998218,
1,470000000,4,2.42976136,24.70044865,2.58e-06,2.627e-05,7.40714166,75.29946164,
1,470000000,5,2.42301257,24.67498102,1.46e-06,1.491e-05,7.39669207,75.32492347,
1,470000000,avg,2.39338716,24.60697714,1.68e-06,1.729e-05,7.33306213,75.39293899,
1,470000000,avg,,,,,,,9.726457
2,50000000,1,0.26020209,24.65161925,1.85e-06,0.00017484,0.79530635,75.3475457,
2,50000000,2,0.2603526,24.69018035,2.08e-06,0.00019762,0.79411758,75.3090483,
2,50000000,3,0.25963493,24.63907936,1.31e-06,0.00012471,0.79410817,75.36002202,
2,50000000,4,0.26042956,24.6370079,1.64e-06,0.00015524,0.79662801,75.36214687,
2,50000000,5,0.2596793,24.61502107,1.11e-06,0.00010536,0.79527503,75.38418309,
2,50000000,avg,0.2600597,24.64657602,1.6e-06,0.00015156,0.79508703,75.35259477,
2,50000000,avg,,,,,,,1.055155
2,70000000,1,0.35668041,24.2534566,1.15e-06,7.821e-05,1.11394792,75.74592427,
2,70000000,2,0.34718947,24.02019486,1.98e-06,0.00013708,1.0982067,75.97908617,
2,70000000,3,0.3414895,23.99891925,1.13e-06,7.946e-05,1.08143958,76.00052468,
2,70000000,4,0.34238227,24.05275019,1.93e-06,0.00013563,1.08106597,75.94613481,
2,70000000,5,0.34156377,24.0013099,1.02e-06,7.159e-05,1.08153325,75.99815003,
2,70000000,avg,0.34586108,24.0664315,1.44e-06,0.00010036,1.09123868,75.9328592,
2,70000000,avg,,,,,,,1.43711
2,90000000,1,0.44371918,24.2712579,1.43e-06,7.83e-05,1.38443972,75.72828786,
2,90000000,2,0.44566199,24.3581066,2.01e-06,0.00011013,1.38395403,75.64140703,
2,90000000,3,0.44464532,24.35335546,1.24e-06,6.805e-05,1.38115371,75.64619563,
2,90000000,4,0.44528018,24.33262858,2.28e-06,0.00012474,1.38468229,75.66687595,
2,90000000,5,0.44357501,24.30459069,1.41e-06,7.744e-05,1.38148375,75.69496964,
2,90000000,avg,0.44457634,24.32399399,1.68e-06,9.175e-05,1.3831427,75.67554106,
2,90000000,avg,,,,,,,1.827728
2,110000000,1,0.54567559,24.25247287,1.18e-06,5.265e-05,1.70429576,75.74717929,
2,110000000,2,0.54825473,24.36169242,1.9e-06,8.455e-05,1.7022164,75.63796495,
2,110000000,3,0.54758157,24.30106874,1.08e-06,4.807e-05,1.70573496,75.69864467,
